unnamed:_0,house_number,street,first_name,surname,age,relationship_to_head_of_house,marital_status,gender,occupation,infirmity,religion
5263,21,Lightning Shores,Victor,Roberts-Atkinson,60.0,Partner,Single,Male,Armed forces logistics/support/administrative officer,None,Not Stated
5264,21,Lightning Shores,Rosemary,Roberts-Atkinson,16.0,Daughter,N/A,Female,Student,None,Not Stated
5265,22,Lightning Shores,Andrea,Kelly,62.0,Head,Married,Female,"Engineer, electrical",None,Christian
5266,22,Lightning Shores,Jeremy,Kelly,62.0,Husband,Married,Male,Commercial/residential surveyor,None,Christian
5267,22,Lightning Shores,Marion,Kelly,27.0,Daughter,Divorced,Female,"Engineer, drilling",None,Christian
5268,22,Lightning Shores,Lindsey,Kelly,24.0,Daughter,Divorced,Female,Hydrographic surveyor,None,Christian
5269,22,Lightning Shores,Marilyn,Kelly,17.0,Daughter,N/A,Female,Student,None,Not Stated
5270,23,Lightning Shores,Carolyn,Chan,34.0,Head,Married,Female,English as a foreign language teacher,None,Not Stated
5271,23,Lightning Shores,Russell,Chan,38.0,Husband,Married,Male,Health physicist,None,Not Stated
5272,23,Lightning Shores,Janice,Robinson,60.0,Lodger,Single,Female,"Editor, commissioning",None,Not Stated
5273,24,Lightning Shores,Maurice,Davis,18.0,Head,Single,Male,Student,None,Not Stated
5274,25,Lightning Shores,Louis,Williams,41.0,Head,Married,Male,"Designer, interior/spatial",None,Christian
5275,25,Lightning Shores,Elizabeth,Williams,39.0,Wife,Married,Female,"Surveyor, mining",None,Not Stated
5276,25,Lightning Shores,Irene,Williams,7.0,Daughter,N/A,Female,Student,None,Not Stated
5277,26,Lightning Shores,Katie,Davies,38.0,Head,Married,Female,Insurance claims handler,None,Not Stated
5278,26,Lightning Shores,Louis,Davies-Taylor,37.0,Husband,Married,Male,Fashion designer,None,Not Stated
5279,26,Lightning Shores,Kerry,Davies-Taylor,19.0,Daughter,Single,Female,University Student,None,Not Stated
5280,27,Lightning Shores,Aimee,Evans,50.0,Head,Divorced,Female,Manufacturing engineer,None,Not Stated
5281,27,Lightning Shores,Brett,Evans,10.0,Son,N/A,Male,Student,None,Not Stated
5282,27,Lightning Shores,Gerard,Evans,5.0,Son,N/A,Male,Student,None,Not Stated
5283,27,Lightning Shores,Jessica,Evans,4.0,Daughter,N/A,Female,Student,None,Not Stated
5284,28,Lightning Shores,Georgina,Bates,42.0,Head,Married,Female,Media planner,None,Methodist
5285,28,Lightning Shores,Kyle,Bates,43.0,Husband,Married,Male,Broadcast engineer,None,Methodist
5286,28,Lightning Shores,Gail,Bates,11.0,Daughter,N/A,Female,Student,None,Not Stated
5287,29,Lightning Shores,Alice,Stevens,38.0,Head,Single,Female,Unemployed,None,Catholic
5288,29,Lightning Shores,Reece,Walton,35.0,Unknown,Single,Male,Optometrist,None,Christian
5289,29,Lightning Shores,Douglas,McLean,35.0,Unknown,Single,Male,Health and safety adviser,None,Methodist
5290,30,Lightning Shores,Denis,Murray,60.0,Head,Married,Male,Statistician,None,Christian
5291,30,Lightning Shores,Vanessa,Murray,57.0,Wife,Married,Female,"Programme researcher, broadcasting/film/video",None,Christian
5292,30,Lightning Shores,Roger,Murray,24.0,Grandson,Single,Male,Financial adviser,None,Not Stated
5293,30,Lightning Shores,Anna,Murray,20.0,Granddaughter,Divorced,Female,University Student,None,Not Stated
5294,31,Lightning Shores,Josephine,Porter,44.0,Head,Single,Female,Unemployed,None,Catholic
5295,31,Lightning Shores,George,Porter,7.0,Son,N/A,Male,Student,None,Not Stated
5296,31,Lightning Shores,Alexander,Porter,3.0,Son,N/A,Male,Student,None,Not Stated
5297,31,Lightning Shores,Garry,Porter,0.0,Son,N/A,Male,Student,None,Not Stated
5298,31,Lightning Shores,Jessica,Cook,30.0,Lodger,Divorced,Female,Banker,None,Christian
5299,32,Lightning Shores,Frances,Johnson,45.0,Head,Married,Female,Hydrographic surveyor,None,Methodist
5300,32,Lightning Shores,Victor,Johnson,47.0,Husband,Married,Male,"Social research officer, government",None,Methodist
5301,32,Lightning Shores,Benjamin,Johnson,18.0,Son,Single,Male,Student,None,Not Stated
5302,32,Lightning Shores,Rosie,Johnson,14.0,Daughter,N/A,Female,Student,None,Not Stated
5303,33,Lightning Shores,Leanne,Wright,45.0,Head,Married,Female,"Sound technician, broadcasting/film/video",None,Methodist
5304,33,Lightning Shores,Mohammad,Wright,47.0,Husband,Married,Male,Minerals surveyor,None,Methodist
5305,33,Lightning Shores,Suzanne,Wright,21.0,Daughter,Single,Female,Civil Service fast streamer,None,Not Stated
5306,33,Lightning Shores,Olivia,Wright,20.0,Daughter,Divorced,Female,University Student,None,Methodist
5307,33,Lightning Shores,Ruth,Wright,17.0,Daughter,N/A,Female,Student,None,Not Stated
5308,34,Lightning Shores,Marilyn,Perkins,52.0,Head,Married,Female,"Buyer, industrial",None,Christian
5309,34,Lightning Shores,Conor,Perkins,52.0,Husband,Married,Male,Advice worker,None,Not Stated
5310,34,Lightning Shores,Lewis,Perkins,24.0,Son,Single,Male,Speech and language therapist,None,Christian
5311,34,Lightning Shores,Cheryl,Perkins,12.0,Daughter,N/A,Female,Student,None,Not Stated
5312,35,Lightning Shores,Mitchell,Walsh,23.0,Head,Single,Male,Sports coach,None,Not Stated
5313,35,Lightning Shores,Katy,Shaw,35.0,Unknown,Single,Female,"Nurse, learning disability",None,Not Stated
5314,35,Lightning Shores,Jordan,Taylor,35.0,Unknown,Single,Male,Unemployed,None,Catholic
5315,36,Lightning Shores,Joanne,Stevens,64.0,Head,Married,Female,Immunologist,None,Christian
5316,36,Lightning Shores,Justin,Stevens,66.0,Husband,Married,Male,"Chemist, analytical",None,Christian
5317,36,Lightning Shores,Brian,Stevens,14.0,Grandson,N/A,Male,Student,None,Not Stated
5318,37,Lightning Shores,Lynne,Hale,55.0,Head,Married,Female,Waste management officer,None,Not Stated
5319,37,Lightning Shores,Gavin,Hale,53.0,Husband,Married,Male,"Research officer, political party",None,Not Stated
5320,37,Lightning Shores,Graeme,Hale,19.0,Son,Divorced,Male,University Student,None,Not Stated
5321,37,Lightning Shores,Paula,Hale,17.0,Daughter,N/A,Female,Student,None,Not Stated
5322,38,Lightning Shores,Jack,North,22.0,Head,Single,Male,University Student,None,Not Stated
5323,38,Lightning Shores,Tina,Dobson,35.0,Unknown,Single,Female,University Student,None,Catholic
5324,38,Lightning Shores,Stanley,Harrison,35.0,Unknown,Single,Male,University Student,None,Catholic
5325,38,Lightning Shores,Dorothy,Clark,35.0,Unknown,Single,Female,University Student,None,Not Stated
5326,39,Lightning Shores,Victoria,Davies,77.0,Head,Widowed,Female,Retired Broadcast presenter,None,Christian
5327,39,Lightning Shores,Tracey,Davies,41.0,Daughter,Widowed,Female,"Librarian, academic",None,Christian
5328,40,Lightning Shores,Toby,Williams,67.0,Head,Married,Male,Exhibition designer,None,Christian
5329,40,Lightning Shores,Abbie,Williams,65.0,Wife,Married,Female,Sports therapist,None,Christian
5330,40,Lightning Shores,Laura,Williams,30.0,Daughter,Single,Female,Print production planner,None,Christian
5331,41,Lightning Shores,Alexandra,Gibson,21.0,Head,Single,Female,University Student,None,Methodist
5332,41,Lightning Shores,Stacey,Smith,35.0,Unknown,Single,Female,University Student,None,Not Stated
5333,41,Lightning Shores,Amber,Gibson,35.0,Unknown,Single,Female,University Student,None,Not Stated
5334,42,Lightning Shores,Rosemary,Bevan,57.0,Head,Married,Female,Personal assistant,None,Christian
5335,42,Lightning Shores,Sean,Bevan,58.0,Husband,Married,Male,Veterinary surgeon,None,Christian
5336,42,Lightning Shores,Raymond,Bevan,32.0,Son,Single,Male,"Therapist, occupational",None,Not Stated
5337,43,Lightning Shores,Sara,Foster,60.0,Head,Married,Female,"Engineer, control and instrumentation",None,Christian
5338,43,Lightning Shores,Stewart,Foster,62.0,Husband,Married,Male,Automotive engineer,None,Not Stated
5339,43,Lightning Shores,Molly,Foster,42.0,Daughter,Divorced,Female,Public house manager,None,Christian
5340,44,Lightning Shores,Elliot,Wilson,25.0,Head,Divorced,Male,Race relations officer,None,Catholic
5341,44,Lightning Shores,Kirsty,Wilson,6.0,Neice,N/A,Female,Student,None,Not Stated
5342,44,Lightning Shores,Mark,Roberts,2.0,Nephew,N/A,Male,Student,None,Not Stated
5343,44,Lightning Shores,Stephanie,Grant,38.0,Lodger,Single,Female,"Buyer, industrial",None,Sikh
5344,45,Lightning Shores,Katherine,Evans,62.0,Head,Married,Female,"Designer, multimedia",None,Christian
5345,45,Lightning Shores,Brian,Evans,63.0,Husband,Married,Male,Police officer,None,Christian
5346,45,Lightning Shores,Molly,Evans,39.0,Daughter,Single,Female,Communications engineer,None,Christian
5347,46,Lightning Shores,Kimberley,Davies,41.0,Head,Single,Female,Unemployed,None,Christian
5348,46,Lightning Shores,Billy,Davies,10.0,Son,N/A,Male,Student,None,Not Stated
5349,46,Lightning Shores,Craig,Davies,7.0,Son,N/A,Male,Student,None,Not Stated
5350,47,Lightning Shores,Jodie,White,49.0,Head,Single,Female,Media planner,None,Christian
5351,47,Lightning Shores,Reece,Brown,35.0,Unknown,Single,Male,"Engineer, materials",None,Not Stated
5352,47,Lightning Shores,Justin,Hudson,35.0,Unknown,Single,Male,University Student,None,Not Stated
5353,47,Lightning Shores,Glenn,Chapman,35.0,Unknown,Single,Male,Community pharmacist,None,Methodist
5354,47,Lightning Shores,Judith,Brookes,35.0,Unknown,Single,Female,Speech and language therapist,None,Not Stated
5355,48,Lightning Shores,Jenna,Wilson,47.0,Head,Married,Female,Cartographer,None,Catholic
5356,48,Lightning Shores,Rhys,Wilson,51.0,Husband,Married,Male,Local government officer,None,Catholic
5357,48,Lightning Shores,Bethany,Wilson,18.0,Daughter,Single,Female,Student,None,Catholic
5358,48,Lightning Shores,Russell,Wilson,15.0,Son,N/A,Male,Student,None,Not Stated
5359,48,Lightning Shores,Gerard,Wilson,11.0,Son,N/A,Male,Student,None,Not Stated
5360,49,Lightning Shores,Jayne,Walker,46.0,Head,Married,Female,Unemployed,None,Catholic
5361,49,Lightning Shores,Samuel,Walker,51.0,Husband,Married,Male,Unemployed,None,Catholic
5362,49,Lightning Shores,Jenna,Walker,25.0,Daughter,Single,Female,Contracting civil engineer,Disabled,Not Stated
5363,49,Lightning Shores,Duncan,Walker,2.0,Son,N/A,Male,Student,None,Not Stated
5364,50,Lightning Shores,Gregory,Daniels,36.0,Head,Single,Male,Physiological scientist,None,Christian
5365,50,Lightning Shores,Judith,Smith,35.0,Unknown,Single,Female,University Student,None,Not Stated
5366,50,Lightning Shores,Anthony,Thompson,35.0,Unknown,Single,Male,"Accountant, chartered management",None,Not Stated
5367,51,Lightning Shores,Samantha,Russell,59.0,Head,Married,Female,Marketing executive,None,Methodist
5368,51,Lightning Shores,Marc,Russell,61.0,Husband,Married,Male,Prison officer,None,Not Stated
5369,51,Lightning Shores,Alison,Russell,27.0,Daughter,Single,Female,Horticultural therapist,None,Methodist
5370,51,Lightning Shores,Lauren,Russell,27.0,Daughter,Divorced,Female,Cabin crew,None,Not Stated
5371,51,Lightning Shores,Leah,Russell,27.0,Daughter,Single,Female,Unemployed,None,Methodist
5372,51,Lightning Shores,Francesca,Russell,15.0,Daughter,N/A,Female,Student,None,Not Stated
5373,1,Whittaker Tunnel,Michael,Chambers,74.0,Head,Married,Male,Retired IT sales professional,None,Not Stated
5374,1,Whittaker Tunnel,Naomi,Chambers,74.0,Wife,Married,Female,"Retired Designer, exhibition/display",None,Not Stated
5375,2,Whittaker Tunnel,Ian,McCarthy,52.0,Head,Single,Male,Print production planner,None,Methodist
5376,3,Whittaker Tunnel,Amber,Boyle,34.0,Head,Married,Female,Psychiatrist,None,Not Stated
5377,3,Whittaker Tunnel,Kieran,Boyle,39.0,Husband,Married,Male,Financial adviser,None,Not Stated
5378,3,Whittaker Tunnel,Owen,Boyle,6.0,Son,N/A,Male,Student,None,Not Stated
5379,3,Whittaker Tunnel,Kayleigh,Boyle,2.0,Daughter,N/A,Female,Student,None,Not Stated
5380,4,Whittaker Tunnel,Clare,Harrison,23.0,Head,Single,Female,Production engineer,None,Not Stated
5381,5,Whittaker Tunnel,Jean,Wright,31.0,Head,Single,Female,Nature conservation officer,None,Jewish
5382,5,Whittaker Tunnel,Charlie,Wright,1.0,Son,N/A,Male,Student,None,Not Stated
5383,5,Whittaker Tunnel,Alan,Wilkinson,44.0,Lodger,Single,Male,Midwife,None,Christian
5384,5,Whittaker Tunnel,Janice,Walker,36.0,Lodger,Single,Female,Web designer,None,Catholic
5385,6,Whittaker Tunnel,Lauren,Phillips,65.0,Head,Single,Female,"Surveyor, hydrographic",None,Not Stated
5386,6,Whittaker Tunnel,Lauren,Phillips,46.0,Daughter,Divorced,Female,Unemployed,None,Not Stated
5387,6,Whittaker Tunnel,Aaron,Phillips,42.0,Son,Divorced,Male,"Development worker, community",None,Not Stated
5388,6,Whittaker Tunnel,Caroline,Phillips,41.0,Daughter,Single,Female,"Administrator, education",None,Not Stated
5389,6,Whittaker Tunnel,Wendy,Phillips,38.0,Daughter,Divorced,Female,Logistics and distribution manager,None,Not Stated
5390,6,Whittaker Tunnel,Irene,Phillips,35.0,Daughter,Single,Female,"Therapist, music",None,Not Stated
5391,7,Whittaker Tunnel,Olivia,Ford,57.0,Head,Married,Female,Patent examiner,None,Christian
5392,7,Whittaker Tunnel,Joel,Ford,63.0,Husband,Married,Male,IT technical support officer,None,Not Stated
5393,7,Whittaker Tunnel,Brett,Ford,21.0,Son,Single,Male,University Student,None,Christian
5394,7,Whittaker Tunnel,Stephen,Ford,16.0,Son,N/A,Male,Student,None,Not Stated
5395,8,Whittaker Tunnel,Jill,Heath,77.0,Head,Widowed,Female,Retired Armed forces training and education officer,None,Not Stated
5396,8,Whittaker Tunnel,Fiona,Ward,29.0,Daughter,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Not Stated
5397,9,Whittaker Tunnel,Gareth,Harvey,27.0,Head,Single,Male,Occupational therapist,None,Not Stated
5398,9,Whittaker Tunnel,Damien,Harvey,4.0,Son,N/A,Male,Student,None,Not Stated
5399,9,Whittaker Tunnel,Geraldine,Harvey,2.0,Daughter,N/A,Female,Student,None,Not Stated
5400,9,Whittaker Tunnel,Christine,Connor,61.0,Lodger,Single,Female,Gaffer,None,Christian
5401,10,Whittaker Tunnel,Gemma,Thomas,38.0,Head,Married,Female,"Psychologist, clinical",None,Muslim
5402,10,Whittaker Tunnel,Philip,Thomas,38.0,Husband,Married,Male,Chartered accountant,None,Not Stated
5403,10,Whittaker Tunnel,Graeme,Thomas,17.0,Son,N/A,Male,Student,None,Not Stated
5404,11,Whittaker Tunnel,Brandon,Edwards,25.0,Head,Single,Male,Unemployed,None,Not Stated
5405,11,Whittaker Tunnel,Jamie,Murphy,35.0,Unknown,Single,Male,IT trainer,None,Christian
5406,11,Whittaker Tunnel,Lynda,Norman,35.0,Unknown,Single,Female,Race relations officer,None,Catholic
5407,11,Whittaker Tunnel,Diana,Morgan,35.0,Unknown,Single,Female,"Psychologist, sport and exercise",None,Catholic
5408,12,Whittaker Tunnel,Grace,Page,30.0,Head,Married,Female,Public librarian,None,Not Stated
5409,12,Whittaker Tunnel,Francis,Page,40.0,Husband,Married,Male,Television floor manager,None,Not Stated
5410,12,Whittaker Tunnel,Gerard,Page,6.0,Son,N/A,Male,Student,None,Not Stated
5411,12,Whittaker Tunnel,Roy,Page,4.0,Son,N/A,Male,Student,None,Not Stated
5412,13,Whittaker Tunnel,Garry,Cross,31.0,Head,Married,Male,Technical author,None,Not Stated
5413,13,Whittaker Tunnel,Teresa,Cross,29.0,Wife,Married,Female,Pensions consultant,None,Not Stated
5414,14,Whittaker Tunnel,Sophie,Edwards,26.0,Head,Married,Female,Youth worker,None,Not Stated
5415,14,Whittaker Tunnel,Mark,Edwards,30.0,Husband,Married,Male,"Therapist, drama",None,Not Stated
5416,1,Salisbury Drive,Shirley,Carroll,42.0,Head,Married,Female,Financial risk analyst,None,Christian
5417,1,Salisbury Drive,Damian,Carroll,40.0,Husband,Married,Male,Dealer,None,Christian
5418,1,Salisbury Drive,Stephen,Carroll,5.0,Son,N/A,Male,Student,None,Not Stated
5419,1,Salisbury Drive,Kevin,Carroll,4.0,Son,N/A,Male,Student,None,Not Stated
5420,1,Salisbury Drive,Jenna,Carroll,1.0,Daughter,N/A,Female,Student,None,Not Stated
5421,2,Salisbury Drive,Natasha,Lambert,50.0,Head,Married,Female,Statistician,None,Not Stated
5422,2,Salisbury Drive,Terry,Lambert,51.0,Husband,Married,Male,"Merchandiser, retail",None,Not Stated
5423,2,Salisbury Drive,Clare,Lambert,15.0,Daughter,N/A,Female,Student,None,Not Stated
5424,3,Salisbury Drive,Maureen,Ward,36.0,Head,Single,Female,Structural engineer,None,Not Stated
5425,3,Salisbury Drive,Howard,Ward,4.0,Step-Son,N/A,Male,Student,None,Not Stated
5426,3,Salisbury Drive,Garry,Ward,1.0,Step-Son,N/A,Male,Student,None,Not Stated
5427,4,Salisbury Drive,Charlene,Wood,37.0,Head,Single,Female,Meteorologist,None,Catholic
5428,4,Salisbury Drive,Michael,Wells,35.0,Unknown,Single,Male,"Research officer, government",None,Not Stated
5429,4,Salisbury Drive,Julie,O'Brien,35.0,Unknown,Single,Female,Field trials officer,None,Not Stated
5430,5,Salisbury Drive,Arthur,Cox,62.0,Head,Single,Male,Unemployed,None,Not Stated
5431,6,Salisbury Drive,Jennifer,Cameron,29.0,Head,Widowed,Female,Probation officer,None,Methodist
5432,6,Salisbury Drive,Rachel,Cameron,11.0,Daughter,N/A,Female,Student,None,Not Stated
5433,6,Salisbury Drive,Beth,Cameron,10.0,Daughter,N/A,Female,Student,None,Not Stated
5434,7,Salisbury Drive,Rosemary,Shaw,42.0,Head,Divorced,Female,Location manager,None,Christian
5435,7,Salisbury Drive,Glenn,Shaw,13.0,Son,N/A,Male,Student,None,Not Stated
5436,7,Salisbury Drive,Janet,Shaw,10.0,Daughter,N/A,Female,Student,None,Not Stated
5437,8,Salisbury Drive,Nicole,Riley,28.0,Head,Married,Female,Training and development officer,None,Not Stated
5438,8,Salisbury Drive,Phillip,Riley,38.0,Husband,Married,Male,Quantity surveyor,None,Not Stated
5439,8,Salisbury Drive,Nicola,Riley,10.0,Daughter,N/A,Female,Student,None,Not Stated
5440,9,Salisbury Drive,Jessica,Law,73.0,Head,Widowed,Female,Retired Landscape architect,None,Methodist
5441,9,Salisbury Drive,Geoffrey,Law,40.0,Son,Single,Male,Chief Financial Officer,None,Methodist
5442,9,Salisbury Drive,Charlie,Law,40.0,Son,Single,Male,Manufacturing engineer,None,Not Stated
5443,9,Salisbury Drive,Lauren,Law,40.0,Daughter,Single,Female,"Development worker, international aid",None,Methodist
5444,9,Salisbury Drive,Melissa,Law,35.0,Daughter,Divorced,Female,Glass blower/designer,None,Methodist
5445,10,Salisbury Drive,Amanda,Murphy,28.0,Head,Married,Female,Advice worker,None,Not Stated
5446,10,Salisbury Drive,Ashley,Murphy,30.0,Husband,Married,Male,Building surveyor,None,Not Stated
5447,10,Salisbury Drive,Robert,Murphy,4.0,Son,N/A,Male,Student,None,Not Stated
5448,11,Salisbury Drive,Joanna,Baldwin,33.0,Head,Married,Female,"Therapist, art",None,Catholic
5449,11,Salisbury Drive,Dean,Baldwin,32.0,Husband,Married,Male,"Runner, broadcasting/film/video",None,Not Stated
5450,11,Salisbury Drive,Marcus,Baldwin,4.0,Son,N/A,Male,Student,None,Not Stated
5451,11,Salisbury Drive,Susan,Baldwin,3.0,Daughter,N/A,Female,Student,None,Not Stated
5452,12,Salisbury Drive,Laura,Wheeler,82.0,Head,Married,Female,"Retired Administrator, arts",None,Not Stated
5453,12,Salisbury Drive,Mitchell,Wheeler,85.0,Husband,Married,Male,Retired Structural engineer,None,Not Stated
5454,13,Salisbury Drive,Kathleen,Walker,49.0,Head,Married,Female,Call centre manager,None,Christian
5455,13,Salisbury Drive,Glen,Walker,51.0,Husband,Married,Male,"Engineer, maintenance",None,Christian
5456,13,Salisbury Drive,Duncan,Walker,20.0,Son,Single,Male,Veterinary surgeon,None,Christian
5457,13,Salisbury Drive,Nicole,Walker,16.0,Daughter,N/A,Female,Student,None,Not Stated
5458,14,Salisbury Drive,Jasmine,Banks,35.0,Head,Married,Female,Mining engineer,None,Catholic
5459,14,Salisbury Drive,James,Banks,33.0,Husband,Married,Male,Water quality scientist,None,Not Stated
5460,14,Salisbury Drive,Hollie,Banks,6.0,Daughter,N/A,Female,Student,None,Not Stated
5461,14,Salisbury Drive,Joanne,Ward,4.0,Daughter,N/A,Female,Student,None,Not Stated
5462,15,Salisbury Drive,Bernard,King,53.0,Head,Single,Male,Broadcast presenter,None,Catholic
5463,15,Salisbury Drive,Georgia,Gregory,48.0,Partner,Single,Female,Chemical engineer,None,Catholic
5464,15,Salisbury Drive,Stanley,King,20.0,Son,Single,Male,University Student,None,Not Stated
5465,15,Salisbury Drive,Stewart,King,19.0,Son,Single,Male,University Student,None,Catholic
5466,15,Salisbury Drive,Jamie,King,18.0,Son,Single,Male,Student,None,Catholic
5467,15,Salisbury Drive,Alice,King,16.0,Daughter,N/A,Female,Student,None,Not Stated
5468,15,Salisbury Drive,Hannah,King,16.0,Daughter,N/A,Female,Student,None,Not Stated
5469,16,Salisbury Drive,Joyce,Chapman,48.0,Head,Single,Female,Professor Emeritus,None,Not Stated
5470,16,Salisbury Drive,Jay,Murray,50.0,Partner,Single,Male,Chartered accountant,None,Not Stated
5471,16,Salisbury Drive,Charlotte,Chapman,17.0,Daughter,N/A,Female,Student,None,Not Stated
5472,17,Salisbury Drive,Marion,Davis,39.0,Head,Divorced,Female,Unemployed,None,Not Stated
5473,17,Salisbury Drive,Reece,Davis,14.0,Son,N/A,Male,Student,None,Not Stated
5474,17,Salisbury Drive,Joyce,Davis,13.0,Daughter,N/A,Female,Student,None,Not Stated
5475,17,Salisbury Drive,Ashleigh,Davis,11.0,Daughter,N/A,Female,Student,None,Not Stated
5476,18,Salisbury Drive,Nicola,Parker,46.0,Head,Married,Female,"Engineer, communications",None,Not Stated
5477,18,Salisbury Drive,Alexander,Parker,51.0,Husband,Married,Male,Dealer,None,Not Stated
5478,18,Salisbury Drive,Scott,Parker,17.0,Son,N/A,Male,Student,None,Not Stated
5479,19,Salisbury Drive,Nigel,Owen,38.0,Head,Single,Male,Soil scientist,None,Not Stated
5480,19,Salisbury Drive,Daniel,Owen,5.0,Son,N/A,Male,Student,None,Not Stated
5481,19,Salisbury Drive,James,Owen,1.0,Son,N/A,Male,Student,None,Not Stated
5482,20,Salisbury Drive,Amanda,Ellis,55.0,Head,Single,Female,Chief Operating Officer,None,Methodist
5483,20,Salisbury Drive,Georgina,Ellis,36.0,Daughter,Single,Female,Analytical chemist,None,Not Stated
5484,21,Salisbury Drive,Beth,Waters,50.0,Head,Single,Female,Unemployed,None,Not Stated
5485,21,Salisbury Drive,Jacqueline,Waters,19.0,Daughter,Single,Female,University Student,None,Not Stated
5486,21,Salisbury Drive,Ellie,Waters,16.0,Daughter,N/A,Female,Student,None,Not Stated
5487,22,Salisbury Drive,Bethany,Gray,53.0,Head,Married,Female,Public librarian,None,Not Stated
5488,22,Salisbury Drive,Douglas,Brown,52.0,Husband,Married,Male,Financial trader,None,Not Stated
5489,22,Salisbury Drive,Graham,Gray,24.0,Son,Single,Male,Professor Emeritus,None,Not Stated
5490,22,Salisbury Drive,Clive,Gray,22.0,Son,Single,Male,Dancer,None,Not Stated
5491,22,Salisbury Drive,Sian,Wilson-Gray,8.0,Daughter,N/A,Female,Student,None,Not Stated
5492,23,Salisbury Drive,Claire,Perry,56.0,Head,Married,Female,Leisure centre manager,None,Not Stated
5493,23,Salisbury Drive,Marcus,Perry,58.0,Husband,Married,Male,Product manager,None,Not Stated
5494,23,Salisbury Drive,Janet,Perry,15.0,Daughter,N/A,Female,Student,Physical Disability,Not Stated
5495,24,Salisbury Drive,Kathryn,Cooper,50.0,Head,Married,Female,"Therapist, occupational",None,Catholic
5496,24,Salisbury Drive,Leon,Cooper,50.0,Husband,Married,Male,Unemployed,None,Catholic
5497,24,Salisbury Drive,Frances,Cooper,17.0,Daughter,N/A,Female,Student,None,Not Stated
5498,24,Salisbury Drive,Eleanor,Cooper,14.0,Daughter,N/A,Female,Student,None,Not Stated
5499,25,Salisbury Drive,Paige,Jackson,45.0,Head,Single,Female,Operations geologist,None,Catholic
5500,25,Salisbury Drive,Dean,Johnson,47.0,Partner,Single,Male,Customer service manager,None,Catholic
5501,25,Salisbury Drive,Nicholas,Jackson,16.0,Son,N/A,Male,Student,None,Not Stated
5502,26,Salisbury Drive,Mandy,Hudson,37.0,Head,Single,Female,Educational psychologist,None,Methodist
5503,26,Salisbury Drive,Molly,Smith,33.0,Lodger,Divorced,Female,"Editor, commissioning",None,Christian
5504,26,Salisbury Drive,Wendy,Green,62.0,Lodger,Single,Female,Newspaper journalist,None,Not Stated
5505,27,Salisbury Drive,Emma,John,27.0,Head,Married,Female,Social researcher,None,Methodist
5506,27,Salisbury Drive,Damien,John,29.0,Husband,Married,Male,Senior tax professional/tax inspector,None,Methodist
5507,28,Salisbury Drive,Suzanne,Jackson,42.0,Head,Single,Female,Horticultural consultant,None,Christian
5508,28,Salisbury Drive,Luke,Howard,44.0,Partner,Single,Male,Mechanical engineer,None,Not Stated
5509,28,Salisbury Drive,Diana,Jackson,15.0,Daughter,N/A,Female,Student,None,Not Stated
5510,1,Wells Summit,Kathryn,Atkinson,52.0,Head,Married,Female,"Designer, fashion/clothing",None,Christian
5511,1,Wells Summit,Heather,Atkinson,54.0,Wife,Married,Female,Unemployed,None,Not Stated
5512,1,Wells Summit,Elliot,Atkinson,14.0,Son,N/A,Male,Student,None,Not Stated
5513,2,Wells Summit,Natalie,Bell,51.0,Head,Single,Female,Sales promotion account executive,None,Not Stated
5514,2,Wells Summit,Hugh,Pratt,52.0,Partner,Single,Male,Immigration officer,None,Not Stated
5515,2,Wells Summit,Georgina,Bell,14.0,Daughter,N/A,Female,Student,None,Not Stated
5516,3,Wells Summit,Mary,Stone,56.0,Head,Single,Female,Television floor manager,None,Christian
5517,4,Wells Summit,Zoe,Johnson,34.0,Head,Divorced,Female,Systems developer,None,Not Stated
5518,5,Wells Summit,Alexander,Hewitt,83.0,Head,Single,Male,Retired Transport planner,None,Christian
5519,6,Wells Summit,Nicole,Freeman,64.43652627,Head,Married,Female,Water engineer,None,Catholic
5520,6,Wells Summit,Trevor,Freeman,66.43652627,Husband,Married,Male,"Research officer, political party",None,Catholic
5521,6,Wells Summit,Kathryn,Freeman,17.0,Daughter,N/A,Female,Student,None,Not Stated
5522,7,Wells Summit,Adam,Moore,20.0,Head,Single,Male,University Student,None,Not Stated
5523,8,Wells Summit,Catherine,Porter,43.0,Head,Divorced,Female,Unemployed,None,Not Stated
5524,8,Wells Summit,Jordan,Porter,26.0,Son,Widowed,Male,Occupational psychologist,None,Not Stated
5525,9,Wells Summit,Stanley,Wallace,73.0,Head,Divorced,Male,"Retired Research officer, political party",None,Christian
5526,10,Wells Summit,Lynda,Kaur,43.0,Head,Married,Female,Airline pilot,None,Not Stated
5527,10,Wells Summit,Joel,Kaur,45.0,Husband,Married,Male,Illustrator,None,Not Stated
5528,11,Wells Summit,Sara,Mason,40.0,Head,Single,Female,Conference centre manager,None,Not Stated
5529,12,Wells Summit,Rachael,McKenzie,61.0,Head,Single,Female,"Engineer, civil (consulting)",None,Not Stated
5530,12,Wells Summit,George,Stevens,54.0,Partner,Single,Male,Purchasing manager,None,Not Stated
5531,13,Wells Summit,Nicholas,Burrows,36.0,Head,Single,Male,Logistics and distribution manager,None,Not Stated
5532,13,Wells Summit,Judith,Ward,33.0,Partner,Single,Female,Technical author,None,Not Stated
